# t_myr=4000.000000
index,depth_m
967,2600
968,2600
969,3706.797
970,2600
971,2600
972,2600
973,2600
974,2600
975,2600
976,2600
977,2600
978,2600
979,6000
980,6000
981,6000
982,6000
983,6000
984,6000
985,6000
986,6000
987,6000
988,6000
989,6000
990,6000
991,6000
992,6000
993,3706.797
994,3382.6238
995,2600
996,2600
997,2600
998,2600
999,2600
1000,2600
1001,2600
1002,2600
1003,2600
1004,2600
1005,2600
1006,2600
1007,3382.6238
1008,2600
1009,2600
1010,2600
1011,3382.6238
1012,2600
1013,2600
1014,3706.797
1015,3706.797
1016,2600
1017,2600
1018,2600
1019,2600
1020,2600
1021,2600
1022,2600
1023,2600
1024,2600
1025,4947.8716
1026,3382.6238
1027,6000
1028,6000
1029,6000
1030,6000
1031,6000
1032,6000
1033,6000
1034,6000
1035,6000
1036,6000
1037,6000
1038,6000
1039,6000
1040,6000
1041,3382.6238
1042,2600
1043,3382.6238
1044,2600
1045,2600
1046,2600
1047,2600
1048,2600
1049,2600
1050,2600
1051,2600
1052,2600
1053,2600
1054,2600
1055,2600
1056,2600
1057,2600
1058,3382.6238
1059,2600
1060,2600
1061,2600
1062,3382.6238
1063,3382.6238
1064,3382.6238
1065,2600
1066,2600
1067,2600
1068,3382.6238
1069,2600
1070,3382.6238
1071,3382.6238
1072,2600
1073,2600
1074,6000
1075,6000
1076,6000
1077,6000
1078,6000
1079,6000
1080,6000
1081,6000
1082,6000
1083,6000
1084,6000
1085,6000
1086,6000
1087,6000
1088,2600
1089,3954.867
1090,2600
1091,2600
1092,2600
1093,2600
1094,2600
1095,2600
1096,3382.6238
1097,2600
1098,3382.6238
1099,2600
1100,2600
1101,3382.6238
1102,2600
1103,2600
1104,2600
1105,2600
1106,2600
1107,3382.6238
1108,3706.797
1109,3382.6238
1110,3706.797
1111,2600
1112,2600
1113,2600
1114,2600
1115,3382.6238
1116,2600
1117,2600
1118,2600
1119,2600
1120,6000
1121,6000
1122,6000
1123,6000
1124,6000
1125,6000
1126,6000
1127,6000
1128,6000
1129,6000
1130,6000
1131,6000
1132,6000
1133,6000
1134,6000
1135,2599.3228
1136,2600
1137,2600
1138,2600
1139,2600
1140,2600
1141,2600
1142,2600
1143,2600
1144,2600
1145,2600
1146,2600
1147,2600
1148,2600
1149,2600
1150,2600
1151,2600
1152,2600
1153,2600
1154,2600
1155,2600
1156,2600
1157,3955.5442
1158,2600
1159,2600
1160,2600
1161,2600
1162,2600
1163,2600
1164,2600
1165,6000
1166,6000
1167,6000
1168,6000
1169,6000
1170,6000
1171,6000
1172,6000
1173,6000
1174,6000
1175,6000
1176,6000
1177,6000
1178,6000
1179,6000
1180,2599.3228
1181,2600
1182,2600
1183,2600
1184,2600
1185,3382.6238
1186,2600
1187,2600
1188,3382.6238
1189,2600
1190,2600
1191,2600
1192,2600
1193,2600
1194,2600
1195,2600
1196,2600
1197,3955.5442
1198,2600
1199,2600
1200,2600
1201,2600
1202,2600
1203,2600
1204,2600
1205,2600
1206,3382.6238
1207,2600
1208,2600
1209,6000
1210,6000
1211,6000
1212,6000
1213,6000
1214,6000
1215,6000
1216,6000
1217,6000
1218,6000
1219,6000
1220,6000
1221,6000
1222,6000
1223,6000
1224,2599.3228
1225,2600
1226,2600
1227,2600
1228,2600
1229,2600
1230,2600
1231,2600
1232,2600
1233,2600
1234,2600
1235,2600
1236,2600
1237,2600
1238,2600
1239,2600
1240,2600
1241,3706.797
1242,2600
1243,2600
1244,2600
1245,3955.5442
1246,2600
1247,2600
1248,2600
1249,2600
1250,2600
1251,2600
1252,6000
1253,6000
1254,6000
1255,6000
1256,6000
1257,6000
1258,6000
1259,6000
1260,6000
1261,6000
1262,6000
1263,6000
1264,6000
1265,6000
1266,6000
1267,2599.3228
1268,2600
1269,2600
1270,2600
1271,2600
1272,2600
1273,2600
1274,2600
1275,2600
1276,2600
1277,2600
1278,2600
1279,2600
1280,2600
1281,2600
1282,2600
1283,2600
1284,2600
1285,3382.6238
1286,3382.6238
1287,3382.6238
1288,2600
1289,2600
1290,2600
1291,2600
1292,2600
1293,2600
1294,6000
1295,6000
1296,6000
1297,6000
1298,6000
1299,6000
1300,6000
1301,6000
1302,6000
1303,6000
1304,6000
1305,6000
1306,6000
1307,6000
1308,6000
1309,2599.3228
1310,2600
1311,2600
1312,2600
1313,2600
1314,2600
1315,2600
1316,2600
1317,2600
1318,2600
1319,2600
1320,2600
1321,2600
1322,2600
1323,2600
1324,2600
1325,2600
1326,2600
1327,3382.6238
1328,3382.6238
1329,3706.797
1330,2600
1331,2600
1332,3382.6238
1333,2600
1334,2600
1335,6000
1336,6000
1337,6000
1338,6000
1339,6000
1340,6000
1341,6000
1342,6000
1343,6000
1344,6000
1345,6000
1346,6000
1347,6000
1348,6000
1349,6000
1350,2599.3228
1351,2600
1352,3382.6238
1353,2600
1354,2600
1355,2600
1356,2600
1357,2600
1358,2600
1359,3382.6238
1360,2600
1361,2600
1362,2600
1363,2600
1364,3382.6238
1365,2600
1366,2600
1367,2600
1368,2600
1369,2600
1370,2600
1371,2600
1372,2600
1373,2600
1374,3382.6238
1375,6000
1376,6000
1377,6000
1378,6000
1379,6000
1380,6000
1381,6000
1382,6000
1383,6000
1384,6000
1385,6000
1386,6000
1387,6000
1388,6000
1389,6000
1390,2599.3228
1391,3382.6238
1392,2600
1393,2600
1394,2600
1395,2600
1396,2600
1397,2600
1398,2600
1399,2600
1400,2600
1401,2600
1402,2600
1403,2600
1404,2600
1405,2600
1406,2600
1407,2600
1408,2600
1409,2600
1410,2600
1411,2600
1412,2600
1413,3382.6238
1414,6000
1415,6000
1416,6000
1417,6000
1418,6000
1419,6000
1420,6000
1421,6000
1422,6000
1423,6000
1424,6000
1425,6000
1426,6000
1427,6000
1428,6000
1429,3706.1199
1430,2600
1431,2600
1432,2600
1433,2600
1434,2600
1435,2600
1436,2600
1437,2600
1438,3382.6238
1439,2600
1440,3382.6238
1441,2600
1442,3382.6238
1443,2600
1444,2600
1445,2600
1446,2600
1447,2600
1448,2600
1449,2600
1450,2600
1451,2600
1452,6000
1453,6000
1454,6000
1455,6000
1456,6000
1457,6000
1458,6000
1459,6000
1460,6000
1461,6000
1462,6000
1463,6000
1464,6000
1465,6000
1466,6000
1467,2599.3228
1468,2600
1469,2600
1470,2600
1471,2600
1472,2600
1473,2600
1474,2600
1475,2600
1476,2600
1477,2600
1478,2600
1479,2600
1480,2600
1481,3382.6238
1482,2600
1483,2600
1484,2600
1485,2600
1486,2600
1487,2600
1488,2600
1489,6000
1490,6000
1491,6000
1492,6000
1493,6000
1494,6000
1495,6000
1496,6000
1497,6000
1498,6000
1499,6000
1500,6000
1501,6000
1502,6000
1503,6000
1504,2599.3228
1505,2600
1506,2600
1507,2600
1508,2600
1509,2600
1510,2600
1511,2600
1512,2600
1513,2600
1514,2600
1515,2600
1516,2600
1517,3382.6238
1518,2600
1519,2600
1520,2600
1521,3382.6238
1522,3382.6238
1523,2600
1524,2600
1525,6000
1526,6000
1527,6000
1528,6000
1529,6000
1530,6000
1531,6000
1532,6000
1533,6000
1534,6000
1535,6000
1536,6000
1537,6000
1538,6000
1539,6000
1540,3706.1199
1541,2600
1542,2600
1543,2600
1544,2600
1545,2600
1546,2600
1547,3382.6238
1548,2600
1549,2600
1550,3382.6238
1551,2600
1552,2600
1553,3382.6238
1554,2600
1555,3382.6238
1556,2600
1557,2600
1558,3382.6238
1559,2600
1560,6000
1561,6000
1562,6000
1563,6000
1564,6000
1565,6000
1566,6000
1567,6000
1568,6000
1569,6000
1570,6000
1571,6000
1572,6000
1573,6000
1574,6000
1575,3381.9465
1576,2600
1577,2600
1578,2600
1579,2600
1580,2600
1581,2600
1582,3382.6238
1583,2600
1584,2600
1585,2600
1586,2600
1587,2600
1588,2600
1589,2600
1590,2600
1591,2600
1592,2600
1593,2600
1594,6000
1595,6000
1596,6000
1597,6000
1598,6000
1599,6000
1600,6000
1601,6000
1602,6000
1603,6000
1604,6000
1605,6000
1606,6000
1607,6000
1608,6000
1609,2599.3228
1610,4348.4
1611,2600
1612,2600
1613,2600
1614,2600
1615,2600
1616,3382.6238
1617,2600
1618,2600
1619,2600
1620,2600
1621,3382.6238
1622,2600
1623,3382.6238
1624,2600
1625,2600
1626,2600
1627,6000
1628,6000
1629,6000
1630,6000
1631,6000
1632,6000
1633,6000
1634,6000
1635,6000
1636,6000
1637,6000
1638,6000
1639,6000
1640,6000
1641,6000
1642,5999.3228
1643,2599.3228
1644,2600
1645,2600
1646,3382.6238
1647,2600
1648,2600
1649,2600
1650,2600
1651,2600
1652,3382.6238
1653,3382.6238
1654,2600
1655,2600
1656,2600
1657,2600
1658,2600
1659,6000
1660,6000
1661,6000
1662,6000
1663,6000
1664,6000
1665,6000
1666,6000
1667,6000
1668,6000
1669,6000
1670,6000
1671,6000
1672,6000
1673,6000
1674,5999.3228
1675,2599.3228
1676,2600
1677,2600
1678,2600
1679,2600
1680,2600
1681,2600
1682,2600
1683,3382.6238
1684,3382.6238
1685,2600
1686,2600
1687,2600
1688,2600
1689,2600
1690,6000
1691,6000
1692,6000
1693,6000
1694,6000
1695,6000
1696,6000
1697,6000
1698,6000
1699,6000
1700,6000
1701,6000
1702,6000
1703,6000
1704,6000
1705,5998.4
1706,2599.3228
1707,2600
1708,3382.6238
1709,2600
1710,2600
1711,2600
1712,2600
1713,2600
1714,2600
1715,2600
1716,2600
1717,2600
1718,3382.6238
1719,2600
1720,6000
1721,6000
1722,6000
1723,6000
1724,6000
1725,6000
1726,6000
1727,6000
1728,6000
1729,6000
1730,6000
1731,6000
1732,6000
1733,6000
1734,6000
1735,5999.3228
1736,3706.1199
1737,2600
1738,2600
1739,2600
1740,2600
1741,2600
1742,2600
1743,3382.6238
1744,2600
1745,2600
1746,2600
1747,2600
1748,2600
1749,6000
1750,6000
1751,6000
1752,6000
1753,6000
1754,6000
1755,6000
1756,6000
1757,6000
1758,6000
1759,6000
1760,6000
1761,6000
1762,6000
1763,6000
1764,5998.4
1765,2598.3997
1766,3382.6238
1767,2600
1768,3382.6238
1769,3382.6238
1770,2600
1771,3706.797
1772,2600
1773,2600
1774,2600
1775,2600
1776,2600
1777,6000
1778,6000
1779,6000
1780,6000
1781,6000
1782,6000
1783,6000
1784,6000
1785,6000
1786,6000
1787,6000
1788,6000
1789,6000
1790,6000
1791,6000
1792,5999.3228
1793,3381.9465
1794,2600
1795,2600
1796,2600
1797,2600
1798,2600
1799,3382.6238
1800,2600
1801,3382.6238
1802,2600
1803,2600
1804,6000
1805,6000
1806,6000
1807,6000
1808,6000
1809,6000
1810,6000
1811,6000
1812,6000
1813,6000
1814,6000
1815,6000
1816,6000
1817,6000
1818,6000
1819,5999.3228
1820,4164.5703
1821,2600
1822,2600
1823,2600
1824,2600
1825,2600
1826,2600
1827,2600
1828,2600
1829,2600
1830,6000
1831,6000
1832,6000
1833,6000
1834,6000
1835,6000
1836,6000
1837,6000
1838,6000
1839,6000
1840,6000
1841,6000
1842,6000
1843,6000
1844,6000
1845,5999.3228
1846,3953.9438
1847,2600
1848,3382.6238
1849,2600
1850,2600
1851,2600
1852,2600
1853,2600
1854,2600
1855,6000
1856,6000
1857,6000
1858,6000
1859,6000
1860,6000
1861,6000
1862,6000
1863,6000
1864,6000
1865,6000
1866,6000
1867,6000
1868,6000
1869,6000
1870,5999.3228
1871,3954.867
1872,2600
1873,3382.6238
1874,2600
1875,2600
1876,3382.6238
1877,2600
1878,3706.797
1879,6000
1880,6000
1881,6000
1882,6000
1883,6000
1884,6000
1885,6000
1886,6000
1887,6000
1888,6000
1889,6000
1890,6000
1891,6000
1892,6000
1893,6000
1894,5999.3228
1895,3954.867
1896,2600
1897,2600
1898,2600
1899,2600
1900,2600
1901,2600
1902,6000
1903,6000
1904,6000
1905,6000
1906,6000
1907,6000
1908,6000
1909,6000
1910,6000
1911,6000
1912,6000
1913,6000
1914,6000
1915,6000
1916,6000
1917,5999.3228
1918,5999.3228
1919,2600
1920,3382.6238
1921,2600
1922,2600
1923,3382.6238
1924,6000
1925,6000
1926,6000
1927,6000
1928,6000
1929,6000
1930,6000
1931,6000
1932,6000
1933,6000
1934,6000
1935,6000
1936,6000
1937,6000
1938,6000
1939,6000
1940,5999.3228
1941,2600
1942,2600
1943,3706.797
1944,6000
1945,6000
1946,6000
1947,6000
1948,6000
1949,6000
1950,6000
1951,6000
1952,6000
1953,6000
1954,6000
1955,6000
1956,6000
1957,6000
1958,6000
1959,6000
1960,5999.3228
1961,5999.3228
1962,2600
1963,3382.6238
1964,2600
1965,6000
1966,6000
1967,6000
1968,6000
1969,6000
1970,6000
1971,6000
1972,6000
1973,6000
1974,6000
1975,6000
1976,6000
1977,6000
1978,6000
1979,6000
1980,5999.3228
1981,5999.3228
1982,3706.797
1983,3382.6238
1984,6000
1985,6000
1986,6000
1987,6000
1988,6000
1989,6000
1990,6000
1991,6000
1992,6000
1993,6000
1994,6000
1995,6000
1996,6000
1997,6000
1998,5999.3228
1999,5999.3228
2000,2599.3228
2001,3382.6238
2002,6000
2003,6000
2004,6000
2005,6000
2006,6000
2007,6000
2008,6000
2009,6000
2010,6000
2011,6000
2012,6000
2013,6000
2014,6000
2015,5999.3228
2016,5999.3228
2017,3706.1199
2018,2600
2019,6000
2020,6000
2021,6000
2022,6000
2023,6000
2024,6000
2025,6000
2026,6000
2027,6000
2028,6000
2029,6000
2030,6000
2031,5999.3228
2032,5999.3228
2033,5999.3228
2034,2600
2035,6000
2036,6000
2037,6000
2038,6000
2039,6000
2040,6000
2041,6000
2042,6000
2043,6000
2044,6000
2045,6000
2046,5999.3228
2047,5999.3228
2048,2599.3228
2049,2600
2050,6000
2051,6000
2052,6000
2053,6000
2054,6000
2055,6000
2056,6000
2057,6000
2058,6000
2059,6000
2060,5999.3228
2061,5999.3228
2062,5999.3228
2063,2600
2064,6000
2065,6000
2066,6000
2067,6000
2068,6000
2069,6000
2070,6000
2071,6000
2072,6000
2073,5999.3228
2074,5999.3228
2075,5999.3228
2076,2599.3228
2077,6000
2078,6000
2079,6000
2080,6000
2081,6000
2082,6000
2083,6000
2084,6000
2085,5999.3228
2086,5999.3228
2087,5999.3228
2088,5999.3228
2089,6000
2090,6000
2091,6000
2092,6000
2093,6000
2094,6000
2095,6000
2096,5999.3228
2097,5999.3228
2098,5999.3228
2099,5999.3228
2100,6000
2101,6000
2102,6000
2103,6000
2104,6000
2105,6000
2106,5999.3228
2107,5999.3228
2108,5999.3228
2109,5999.3228
2110,6000
2111,6000
2112,6000
2113,6000
2114,6000
2115,5999.3228
2116,5999.3228
2117,5999.3228
2118,5999.3228
2119,6000
2120,6000
2121,6000
2122,6000
2123,5999.3228
2124,5998.4
2125,5998.4
2126,5999.3228
2127,6000
2128,6000
2129,6000
2130,5998.4
2131,5999.3228
2132,5999.3228
2133,5999.3228
2134,6000
2135,6000
2136,5999.3228
2137,5999.3228
2138,5999.3228
2139,5999.3228
2140,6000
2141,5999.3228
2142,5998.4
2143,5998.4
2144,5998.4
2145,5998.4
2146,5999.3228
2147,5999.3228
2148,5999.3228
2149,5999.3228
2150,5999.3228
2151,5999.3228
2152,5999.3228
2153,5998.4
2154,2599.3228
2155,2599.3228
2156,3381.9465
2157,3381.9465
2158,2599.3228
2159,2599.3228
2160,2599.3228
2161,2599.3228
2162,2598.3997
2163,2598.3997
2164,2599.3228
2165,3381.0234
2166,2598.3997
2167,2598.3997
